img_no,true_label,predicted_label,index,,,,
0,15,15,216,,,,
1,19,19,235,,,,
2,20,20,170,,Accuracy = 95%,,
3,10,10,46,,,,
4,34,34,243,,,,
5,6,6,259,,,,
6,17,17,334,,,,
7,22,22,215,,,,
8,30,30,110,,,,
9,29,29,1,,,,
10,5,5,79,,,,
11,14,14,200,,,,
12,9,7,349,,,,
13,16,16,281,,,,
14,20,20,11,,,,
15,34,34,291,,,,
16,10,10,37,,,,
17,15,15,216,,,,
18,16,16,107,,,,
19,24,24,333,,,,
20,38,38,168,,,,
21,4,39,12,,,,
22,8,8,70,,,,
23,14,14,229,,,,
24,30,30,7,,,,
25,3,3,213,,,,
26,38,38,328,,,,
27,20,20,323,,,,
28,37,37,208,,,,
29,5,5,81,,,,
30,20,20,323,,,,
31,35,35,86,,,,
32,8,8,144,,,,
33,26,26,191,,,,
34,20,20,170,,,,
35,17,17,36,,,,
36,21,21,147,,,,
37,5,5,79,,,,
38,2,2,19,,,,
39,29,29,176,,,,
